0.2964,0.2484,0.2484,0.0639,0.0639,-0.1272,-0.1272,-0.1301,-0.1301,-0.1301,-0.1301,-0.1301,-0.1715,-0.1715,-0.1715
2.0003,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.6371,0.56,0.56
-0.5199,-0.5199,-0.5199,-0.5199,-0.5199,-0.5199,-0.5199,-1.3161,-1.3161,-1.3161,-1.3161,-1.3161,-1.3161,-1.3161,-1.3161
-2.5174,-2.5174,-2.5174,-2.5174,-2.5174,-2.5174,-2.5174,-2.6564,-2.6564,-3.7533,-4.1126,-4.1126,-4.1126,-4.1126,-4.1126
0.1911,0.1758,0.1758,0.1097,0.1096,-0.0253,-0.1234,-0.1234,-0.1234,-0.1234,-0.1234,-0.1234,-0.1234,-0.1428,-0.1428
0.13,-0.0123,-0.3762,-1.4842,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995,-1.7995
0.0613,0.0613,0.0613,0.0613,0.0613,0.0613,0.0613,0.0234,0.0234,0.0234,0.0174,0.0174,0.0174,0.0174,-0.0836
-0.1131,-0.1131,-0.1131,-0.1131,-0.2389,-0.2794,-0.2794,-0.2794,-0.2794,-0.2794,-0.7614,-0.8396,-0.8396,-1.1971,-1.1971
0.7545,0.5345,0.5345,0.0732,0.0732,-0.3654,-0.3654,-0.4671,-0.5539,-0.7337,-0.7337,-0.7337,-0.7337,-0.7337,-0.7337
-0.3555,-0.4905,-0.4905,-0.4905,-0.4905,-0.5391,-0.5391,-0.5391,-0.5391,-0.5391,-0.5391,-0.5391,-0.5391,-0.5391,-0.5391
-0.963,-0.963,-1.087,-1.087,-1.118,-1.118,-1.679,-1.679,-1.679,-1.679,-1.679,-1.679,-1.679,-1.679,-1.679
-0.207,-0.207,-0.207,-0.207,-0.207,-0.207,-0.3323,-0.3323,-0.3323,-0.3323,-0.3323,-0.3323,-0.6314,-0.7313,-0.7433
-1.572,-1.572,-1.572,-1.572,-1.572,-1.6546,-1.6546,-1.6546,-1.6546,-1.6546,-2.718,-2.7537,-2.7537,-2.7537,-2.9409
-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449,-1.5449
-0.2195,-0.7292,-0.7292,-0.7292,-0.7292,-0.7453,-0.7453,-0.7453,-0.7453,-0.7453,-0.7453,-0.7453,-0.7453,-1.0572,-1.0572